ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60
11,9.47373800626079E-05,0.0090452619,0.0004016251,0.019343966,0.0017388477,0.0032738195,0.0006696341,0.0009734661,0.0227349284,0.0004684792,3.72492392389526E-05,0.0051913492,7.17784267083369E-05,0.000318922,0.0003332632,3.81179514890893E-06,0.0002224213,1.95061551615634E-05,0.0087177127,0.0150699295,9.72723662616994E-05,0.0004645262,0.0292489154,6.05755716683101E-05,0.0014490199,7.3496559756368E-06,0.0157499331,0.410905389,0.0001787138,0.0119104228,0.0027586949,1.36328253214191E-05,0.0011471671,0.000027532,0.0002552338,6.32233595011234E-06,0.0001056136,0.0002980007,1.68124435818423E-06,0.0720506935,0.005378637,0.0002471203,0.0009972235,7.69498539269087E-05,7.06763083350319E-05,0.0622521352,0.0002305746,0.0050836428,0.0021527357,0.000066442,7.51452214760606E-05,0.0017772638,0.2444088754,2.80628707834882E-05,0.0270571013,0.0001707314,0.0129306216,0.0009817043,0.00054633,6.28058723107827E-07
12,0.0005040244,0.0653570127,0.0002074528,0.0014711796,0.0015882528,0.0011729387,0.0002226246,0.0130648415,0.012727115,0.0014948762,0.0003987253,0.0033699695,0.0005830426,0.0023047397,4.54565766215059E-05,0.0001453624,0.0004699736,6.93391727849086E-06,0.0330851972,0.0025514386,0.0003269244,0.0001301186,0.0980055244,0.0006940278,0.0010308974,9.78157432095819E-05,0.000009241,0.0008727513,4.49514941197925E-05,0.0451805813,0.0059922912,0.0001641154,0.00110743,5.47927805455991E-06,0.0022832451,2.29438301168263E-05,0.0008145633,0.0006231909,1.45205286127917E-06,0.000457905,0.3874681174,0.0006139894,6.58116241693036E-06,0.0006208325,4.72570730266766E-05,2.24191644072076E-05,0.001069492,0.1405656051,0.0004935102,6.96274208045844E-05,7.20452733206996E-05,0.0002374356,0.0502649866,0.0001891001,0.0467016953,0.0278372216,0.0415422796,0.0004907073,0.0001518439,0.002898646
13,1.01993651021004E-05,0.0374921644,0.0002890738,6.8985759716525E-05,0.0583435981,6.6789352253786E-06,0.0004149469,0.000107652,0.0006304033,0.0040301635,0.0865684956,1.4383908405551E-05,0.0187211215,0.0011393205,3.04753474019221E-06,9.28931471109068E-06,0.517049878,0.0004496459,0.0191417546,1.84414122073843E-05,3.91047766352024E-06,0.0002930599,0.0672183891,0.0010203196,0.000016846,0.00007909,8.76485843480702E-06,4.13016701030091E-05,1.60696922877748E-05,0.0547666885,3.17114986961319E-05,0.000001503,8.78727744909642E-05,0.000097469,0.0003810294,0.0545725446,0.000027384,0.0004747108,9.96578319519565E-06,0.0004703789,0.0002790564,0.0002408174,0.0001225671,8.32063506821946E-06,0.000143219,7.67742482068677E-05,0.0043326778,3.92763332427763E-05,0.0084901711,0.0004038126,0.0001267161,0.0001095677,0.0024901453,6.34172684531627E-05,0.0196824861,7.24058332412072E-06,0.0390340734,0.0001491109,7.0994226373065E-05,1.30191141429242E-06
14,2.16719453497597E-05,0.0037188933,0.0266673548,0.0002350079,0.0098084439,4.63884186701737E-05,3.22432411983227E-06,0.0064598266,0.0004748911,0.0048828147,1.524780773571E-05,0.6450145534,8.71666853294643E-06,0.0007837145,2.37849995463423E-08,1.93232297545958E-09,1.91659345527779E-05,0.0001294913,0.023182866,0.0004628368,1.97595316084035E-05,2.49481037493998E-05,0.0077680333,0.0006172431,0.0008000361,3.89274458804262E-06,1.28129004091949E-06,0.0001124001,0.0043477659,0.0120442473,0.0452704611,0.0031275157,0.0008622473,5.6360517032847E-05,0.0009007562,3.4564691828845E-05,2.05660525714032E-06,0.0010511441,4.59304671832325E-07,0.0003027161,0.0483965656,0.0001508313,0.000000095,0.0006438503,3.80605769327114E-06,3.23081274535019E-05,0.0004213213,0.0009955516,0.000304801,2.60521639507342E-06,3.39571448252954E-06,1.49253124033911E-05,0.0601553748,7.54631909885207E-05,0.0054690564,0.0536112936,0.013165677,0.0002795697,3.5222127113444E-05,0.0169552622
15,0.0007666244,0.0102457014,0.0013917387,0.0008691766,0.0146802503,0.0001869311,7.69787695560136E-05,0.0002957944,0.0587931073,0.0117228744,0.0122443726,7.78426928792125E-05,0.0012781985,0.0004285018,0.0429014871,0.0054650279,0.0009403588,0.0022818596,0.0211537865,7.03531374571789E-05,0.0007565038,0.0062468215,0.132686609,0.0209235087,0.0003354086,0.000710912,0.0014786203,2.77688659964056E-05,0.0002119585,0.0859119578,0.0001475127,0.0002113887,0.0024707233,0.0029937448,0.000740905,0.0001544409,0.0002600633,0.0002344789,0.0125984806,0.0100935592,0.0010254878,0.0009153594,0.0002048419,5.70446761390286E-07,4.44576054988269E-05,0.0006602556,0.0113838613,4.63509194525649E-05,0.06108999,3.57049054541324E-05,0.000067948,0.000047177,0.0041565405,0.0012753869,0.0316669342,0.0002078863,0.0089506826,0.4130701787,7.30604440916242E-05,1.09931260375765E-05
16,1.60083721399387E-05,0.0032888587,0.000065136,0.0220262533,0.000028519,0.4633168325,0.0019245744,1.77351167472268E-05,0.0676038618,0.0001066673,1.93152210555362E-05,0.0003116416,0.0001557161,0.0008718931,0.0027524996,6.10717056462667E-06,0.0001480305,0.000784604,0.0094283191,0.0012608823,0.2588676686,5.48881843069302E-05,0.0681686241,0.000038811,0.00012854,0.0001726047,0.000197576,0.0037762767,9.35637049711423E-05,0.0121932422,0.0002625476,5.27558686505642E-07,0.0008273038,0.001230942,0.000022182,0.000000717,0.0001207653,1.40595904330863E-05,2.61469196863256E-06,0.0003718095,0.0483189879,0.0006477927,0.0004184127,1.23933825827023E-06,5.48238983750316E-06,0.0001229729,0.0007765011,0.0001969112,0.0015746738,0.00013627,2.42553352703143E-05,0.0003607106,0.0051181289,0.0001232036,0.0119536613,0.0006278878,0.0088022314,1.90515906153925E-05,6.8094606047711E-05,2.48113172651749E-05
17,1.94948916311815E-06,0.0416880832,0.0001594591,1.19146036737751E-05,0.3792305823,4.5328476093762E-06,0.0001185413,0.000102705,3.48596853670496E-05,0.001710084,0.1219086411,0.0006461995,0.0004117596,0.0012395814,1.1931810748883E-09,2.86448974259059E-07,0.0007777337,2.80386984997625E-06,0.0094906103,3.7961535070532E-06,1.28467414836431E-09,0.0002688835,0.0018151476,0.000136874,0.0002361503,4.17537856073815E-05,9.08354129832392E-07,0.0002143415,8.86942448738385E-06,0.0089737521,0.0008696677,3.86449275198287E-06,3.20904189213357E-05,6.40675612457043E-07,0.0031893502,0.0009154897,4.09572021104223E-07,0.0049709277,0.000000311,0.0003497764,0.0004904594,2.22708868587157E-05,0.0002255849,0.2953827434,1.48906728138973E-05,0.0004876862,0.0001398051,0.0029725178,0.0004518221,3.12539577941975E-06,0.0003187569,0.0001379847,0.0502927265,2.25091487192898E-05,0.0063956942,4.49556574101348E-05,0.0590931548,0.0039282487,0.000001234,0.000000495
18,3.15051069468272E-05,0.0034654374,0.0003369067,0.0012384896,0.0008003099,7.86617699927782E-05,0.000654775,2.47406137076606E-05,0.0079276306,0.0001148105,1.67040671897979E-05,0.000018195,1.06321237178456E-05,0.0001099836,0.0001138254,5.50960306574052E-06,0.000098566,0.0007689085,0.0037543868,0.0005018854,3.33527046311967E-05,0.0001997209,0.0050608233,0.0001164316,0.0002123039,1.60185132410167E-05,0.429931093,0.0001370877,0.0003317901,0.0036419042,4.39672438443096E-05,1.81348228691657E-06,0.0001818602,0.000070703,2.08123576997015E-05,4.29040494480771E-06,1.69184379966704E-05,0.000046128,0.000120279,0.2036047097,0.0001159548,0.0001105707,0.1475196901,0.000000026,6.93649784566268E-06,0.002837843,0.0001454552,2.08507705504744E-06,0.0139886256,4.09761407950349E-05,5.25430838296484E-06,0.1553760124,0.0061371433,5.47533868081432E-06,0.0046169185,2.01732597564495E-06,0.0037001468,0.0001799385,0.0013450394,1.9603836341508E-08
19,2.50858978165308E-05,0.0159049505,0.0003008146,0.0003921708,0.003226882,0.0001007462,1.66974206775174E-06,0.000560167,0.000330491,0.0147762873,0.0002354704,0.0401922703,3.74047169279733E-05,0.0028677639,1.15413603951256E-07,2.08659735109801E-06,0.0002013943,9.92853437006735E-06,0.0275734766,2.39353834469565E-06,6.45951167946977E-06,4.85306740504292E-05,0.009010869,9.83732394831668E-05,0.0009404723,2.85234795167931E-06,0.000005872,0.0001551262,0.0001529551,0.0166027275,0.0031591343,0.0006803391,0.0004833549,2.55904957659155E-05,0.0045049131,5.51370599073825E-05,1.41530199352577E-06,0.0016428162,2.88262017496204E-06,0.0001669625,0.0006472737,9.59927150535574E-05,1.94908239329387E-05,0.5162691748,7.91508092365261E-05,0.0001122675,0.000216226,0.0040342776,0.0003977188,1.38570983080497E-06,8.99199433838609E-05,4.32356642093823E-05,0.0571369812,0.0002068152,0.014160178,0.2380208391,0.0226999718,0.0003024988,6.20135044504102E-05,0.0009162357
20,0.0004872046,0.0045330423,2.6033684207294E-05,0.0005378524,0.0002559827,0.0007594045,4.47795060361137E-05,0.0002092354,0.0011232727,0.0002417016,1.18373570428053E-05,0.0003507621,0.0001522393,3.22197262790781E-05,0.8442809489,0.0002333646,0.0001722004,3.5982356756365E-07,0.0023022963,2.68475211903551E-06,1.90900614778689E-05,1.24051684108717E-05,0.0688750554,4.52313601731484E-05,7.49671048149948E-05,0.000156002,2.36566066435137E-05,9.47190647767331E-05,2.21235052705716E-05,0.0262169421,3.03900686719735E-05,6.43089114485312E-05,8.03688377752448E-05,1.02557256222456E-05,0.0001527792,6.77177850878924E-05,1.86721264137653E-05,0.0001021055,8.43920996399656E-05,0.0001283365,0.000127511,0.0011099563,1.31321726836652E-05,0.0001069912,0.0001510655,0.0011843915,6.93514404608154E-05,0.0095460416,8.89830631153544E-05,1.56482666035305E-05,4.61368190934942E-05,5.55097973936117E-05,0.0041826312,0.0001188833,0.0265677837,0.0002612909,0.0041892497,3.26436439641569E-05,8.22477126397171E-05,1.36096829587119E-05
21,0.6339940215,0.0048589323,0.0008662167,0.005965525,0.0028638776,0.0004056917,0.0001371463,0.0050240041,0.0736004239,0.0006912963,7.05918262184547E-06,0.0234647698,0.0001899169,0.0001200135,0.0082963591,0.0002286761,5.24779385623463E-05,7.75229345462978E-06,0.0083533765,0.0017468669,0.0042685665,2.70192208431537E-05,0.0202723522,0.0003617033,0.0567395677,4.60711231406918E-05,7.61554831537051E-05,0.0016019885,0.0003377585,0.012286599,0.0057360296,0.0015229139,0.0004854073,7.40944145328281E-05,0.0001437855,2.20653118975158E-06,1.47845867879046E-06,4.88624451034983E-05,0.0001859572,0.0029426502,0.0005347864,0.002269681,0.000003513,0.000044023,3.22742466372627E-05,9.51322024335832E-05,0.004533978,0.054790361,1.25506678859501E-05,2.68575764652176E-06,6.35154396923259E-07,0.0004522779,0.0210514093,6.89432265598351E-05,0.016937114,0.0074528973,0.008589361,0.0050579233,5.77747002833719E-06,2.91052826937037E-05
22,8.93245823720531E-07,0.0093499546,0.000019304,3.95526138092079E-05,0.0004435273,0.0001015307,5.02632339882483E-06,0.0004665632,3.90691816971463E-05,0.0008948285,1.08269082332428E-05,0.2263499427,9.89672001754539E-06,0.0056298288,2.57708203752616E-10,4.05379940987375E-08,1.83683365556271E-06,0.000016604,0.0045334128,3.042185062151E-05,6.04340061831036E-07,0.000003456,0.0022333608,0.0007427175,8.51714536376394E-05,3.52390338854723E-06,2.37409272798698E-07,1.08558148336502E-05,0.0001572938,0.0072549328,0.0071651254,0.0018642183,0.0020895177,4.74662759425047E-05,0.0286931889,1.04997274479434E-05,0.0002995351,0.00235661,6.86283091081319E-07,0.000005977,0.0710735125,5.64299437948484E-05,0.000000012,0.0013412789,5.11991866181912E-05,1.80539852801139E-07,0.0002221678,0.0014502337,9.47102896666636E-05,0.0001173817,0.0005233145,2.38170594719015E-06,0.0298905436,0.0005586375,0.003421523,0.1438836654,0.0056841644,0.000020167,1.18184140781303E-06,0.4406392747
23,3.74799191384139E-05,0.0057233874,0.0058920094,4.21220856643888E-05,0.001780765,1.76582485685137E-08,1.9824368964668E-08,0.0005958821,4.54873626697757E-05,0.0301488012,0.0030290004,5.05273319759634E-06,0.8901276035,0.0011033153,2.6354495863724E-10,1.06694543491593E-06,0.0078616583,9.91017638318293E-06,0.0026699266,5.83687917084267E-06,4.2137057758906E-08,6.32543082828476E-05,0.0008276504,0.011855598,0.0001642367,0.000007263,2.8173708863165E-08,2.55334406911245E-05,8.2584683243477E-05,0.0035258439,0.0042174111,0.0001576786,5.47569054902692E-06,1.53281472584987E-05,0.0010704962,0.0001124729,4.70101631738865E-05,0.0091796993,0.0001240894,4.90963777552481E-05,2.34573651055662E-05,5.09583291670522E-05,1.94271127300466E-06,3.81526691592458E-05,8.29109091997825E-05,1.56421377817079E-06,0.0006630307,1.20697244944073E-05,5.79581222456251E-05,0.0001633786,1.17816613361408E-05,7.17597755485274E-07,0.000654123,0.0002528457,0.0018206337,0.0003670883,0.0139904351,1.10540819813021E-05,3.41656413476487E-05,0.0011515962
24,1.57664161602922E-05,0.017429536,0.000161334,7.5744210169909E-05,0.0002126284,1.78536004624213E-06,7.23425233968503E-05,0.0002401432,0.0004851085,0.0003224584,0.000069316,1.18072928646982E-05,0.7411801588,0.0001126889,1.49794159447679E-06,0.000018707,0.0001542548,0.0001676748,0.0045242031,0.00000507,3.11691343583478E-09,4.13885174875003E-06,0.0644026389,0.0016818965,4.46025076152315E-06,0.000287168,2.40362435607515E-06,5.5985475288446E-05,6.54560910969032E-05,0.1065947579,8.24719026076509E-06,8.47574253631629E-05,4.32178585650608E-05,1.16918605268864E-05,0.0001849379,0.00018074,1.23253901119644E-05,5.24547781934393E-05,1.37138066784203E-06,5.13576398446389E-06,8.13410957899366E-05,0.0005801621,0.000207429,8.80472041272861E-07,0.0001151924,3.42023159889193E-05,0.0001518429,2.47053895008135E-05,3.19033624828399E-05,0.0001542916,4.0219109575617E-05,0.000018665,0.0016153095,0.0004958939,0.0353012377,6.72060875839115E-05,0.0219768364,2.54223784835023E-06,9.09257763684545E-06,0.0001450332
25,0.0001384159,0.0503554535,0.0001997205,9.52758795778296E-05,0.0011426481,3.92355679215122E-06,2.15032184145775E-05,0.0001000856,8.17710534683366E-05,0.0001609635,0.0001470354,1.40131912832862E-05,0.0007317437,2.66848171923693E-05,1.74644561765708E-07,3.44356964567156E-05,1.49344702336507E-05,6.64136628053276E-05,0.004615565,1.48217498836892E-05,3.2045477966248E-10,7.68411199570797E-06,0.041290842,0.2756765446,9.28853470373487E-07,0.5278447768,6.72433666077393E-07,6.53572233822833E-08,2.29769176774515E-06,0.0625721946,2.19303586245128E-05,0.0002692257,9.15594203783129E-05,2.65954573361865E-05,0.0003273423,0.0002979619,2.27881641892788E-05,4.81946096916294E-05,3.33733533299519E-06,2.19145848045481E-05,0.0001064551,0.0005754181,0.0001110705,1.13060423421734E-07,3.62960749709145E-05,4.82223057985646E-06,0.0001039925,0.000008601,0.000044531,7.59633274651558E-05,5.71214885248424E-05,4.58862111256136E-05,0.0004921488,0.0004526217,0.0248635919,1.71595950070621E-05,0.0062148778,1.19285041752791E-05,8.38379015529861E-07,0.000284123
