ID	clusters
1165	14
1166	29
1167	7
1168	20
1169	9
1170	15
1171	11
1172	8
1173	27
1174	20
1175	29
1176	15
1177	16
1178	5
1179	1
1180	18
1181	7
1182	28
1183	6
1184	0
1185	17
1186	17
1187	19
1188	11
1189	10
1190	5
1191	8
1192	12
1193	28
1194	3
1195	4
1196	28
1197	10
1198	8
1199	6
1200	18
1201	16
1202	23
1203	20
1204	23
1205	14
1206	2
1207	22
1208	10
1209	23
1210	8
1211	28
1212	28
1213	7
1214	8
1215	17
1216	27
1217	14
1218	25
1219	28
1220	14
1221	25
1222	28
1223	27
1224	12
1225	13
1226	14
1227	4
1228	0
1229	7
1230	3
1231	17
1232	6
1233	18
1234	8
1235	8
1236	8
1237	8
1238	8
1239	24
1240	20
1241	10
1242	14
1243	12
1244	15
1245	2
1246	19
1247	4
1248	3
1249	15
1250	7
1251	5
1252	22
1253	14
